,adult,budget,id,popularity,revenue,title,vote_average,vote_count,day,month,year
28,False,18000000,902,9.822423,1738611.0,The City of Lost Children,7.6,308.0,16.0,5.0,1995.0
29,False,0,37557,1.100915,0.0,Shanghai Triad,6.5,17.0,30.0,4.0,1995.0
32,False,0,78802,0.745542,0.0,Wings of Courage,6.8,4.0,18.0,9.0,1996.0
52,False,0,49133,1.361286,0.0,Lamerica,7.7,11.0,1.0,1.0,1994.0
57,False,0,11010,10.168437,0.0,The Postman,7.6,181.0,22.0,9.0,1994.0
58,False,0,99040,0.120789,0.0,The Confessional,6.5,2.0,29.0,9.0,1995.0
67,False,0,4482,2.518051,0.0,French Twist,6.0,43.0,8.0,2.0,1995.0
72,False,0,48750,1.479446,0.0,Les Miserables,6.6,8.0,22.0,3.0,1995.0
79,False,0,46785,1.196256,0.0,The White Balloon,7.5,20.0,1.0,1.0,1995.0
81,False,900000,880,2.030174,0.0,Antonia's Line,7.2,26.0,12.0,9.0,1995.0
95,False,3000000,406,12.108196,0.0,La Haine,7.9,695.0,31.0,5.0,1995.0
104,False,0,11907,1.015068,0.0,Nobody Loves Me,5.1,5.0,7.0,11.0,1994.0
110,False,7500000,33542,12.314278,32392047.0,Rumble in the Bronx,6.5,245.0,30.0,1.0,1995.0
121,False,0,11104,6.778979,0.0,Chungking Express,7.9,249.0,14.0,7.0,1994.0
122,False,0,37975,1.702639,0.0,The Star Maker,6.8,29.0,21.0,9.0,1995.0
125,False,0,44284,0.406754,0.0,The Silences of the Palace,4.3,3.0,30.0,9.0,1994.0
129,False,0,73067,0.637554,0.0,Frankie Starlight,5.4,4.0,22.0,11.0,1995.0
131,False,0,55475,0.291021,0.0,Nueba Yol,5.5,1.0,16.0,8.0,1995.0
151,False,0,649,10.142662,0.0,Belle de Jour,7.3,163.0,24.0,5.0,1967.0
196,False,0,5967,8.133881,0.0,The Umbrellas of Cherbourg,7.6,119.0,19.0,2.0,1964.0
210,False,2800000,50797,2.486073,2616503.0,Burnt by the Sun,6.7,35.0,1.0,5.0,1994.0
224,False,0,62488,0.710671,0.0,Destiny Turns on the Radio,5.3,9.0,28.0,4.0,1995.0
228,False,0,10451,4.860016,7294403.0,Eat Drink Man Woman,7.5,76.0,3.0,8.0,1994.0
238,False,0,10954,8.935058,0.0,Farinelli,5.9,20.0,7.0,12.0,1994.0
260,False,10000000,17961,1.948315,0.0,L'Enfer,6.6,22.0,16.0,2.0,1994.0
261,False,2000000,18183,4.126083,21665468.0,Like Water for Chocolate,6.6,70.0,16.0,4.0,1992.0
289,False,16000000,101,20.477329,45284974.0,Leon: The Professional,8.2,4293.0,14.0,9.0,1994.0
294,False,400000,25296,1.638622,152322.0,Pushing Hands,6.1,9.0,1.0,2.0,1992.0
298,False,0,10452,4.405405,0.0,Queen Margot,7.0,67.0,13.0,5.0,1994.0
300,False,22000000,161495,3.395867,12400000.0,Roommates,6.4,7.0,1.0,3.0,1995.0
302,False,0,110,7.832755,0.0,Three Colors: Red,7.8,246.0,27.0,5.0,1994.0
303,False,0,108,8.843517,0.0,Three Colors: Blue,7.7,311.0,10.0,1.0,1993.0
304,False,0,109,6.5898,0.0,Three Colors: White,7.3,218.0,26.0,1.0,1994.0
305,False,0,159185,0.078257,0.0,"Red Firecracker, Green Firecracker",7.0,2.0,14.0,10.0,1994.0
