,id,popularity,release_date,title,vote_average,vote_count,day,month,release_year,weekday
0,862,21.946943,1995-10-30,Toy Story,7.7,5415.0,30.0,10.0,1995.0,lunes
1,8844,17.015539,1995-12-15,Jumanji,6.9,2413.0,15.0,12.0,1995.0,viernes
2,15602,11.7129,1995-12-22,Grumpier Old Men,6.5,92.0,22.0,12.0,1995.0,viernes
3,31357,3.859495,1995-12-22,Waiting to Exhale,6.1,34.0,22.0,12.0,1995.0,viernes
4,11862,8.387519,1995-02-10,Father of the Bride Part II,5.7,173.0,10.0,2.0,1995.0,viernes
5,949,17.924927,1995-12-15,Heat,7.7,1886.0,15.0,12.0,1995.0,viernes
6,11860,6.677277,1995-12-15,Sabrina,6.2,141.0,15.0,12.0,1995.0,viernes
7,45325,2.561161,1995-12-22,Tom and Huck,5.4,45.0,22.0,12.0,1995.0,viernes
8,9091,5.23158,1995-12-22,Sudden Death,5.5,174.0,22.0,12.0,1995.0,viernes
9,710,14.686036,1995-11-16,GoldenEye,6.6,1194.0,16.0,11.0,1995.0,jueves
10,9087,6.318445,1995-11-17,The American President,6.5,199.0,17.0,11.0,1995.0,viernes
11,12110,5.430331,1995-12-22,Dracula: Dead and Loving It,5.7,210.0,22.0,12.0,1995.0,viernes
12,21032,12.140733,1995-12-22,Balto,7.1,423.0,22.0,12.0,1995.0,viernes
13,10858,5.092,1995-12-22,Nixon,7.1,72.0,22.0,12.0,1995.0,viernes
14,1408,7.284477,1995-12-22,Cutthroat Island,5.7,137.0,22.0,12.0,1995.0,viernes
15,524,10.137389,1995-11-22,Casino,7.8,1343.0,22.0,11.0,1995.0,miércoles
16,4584,10.673167,1995-12-13,Sense and Sensibility,7.2,364.0,13.0,12.0,1995.0,miércoles
17,5,9.026586,1995-12-09,Four Rooms,6.5,539.0,9.0,12.0,1995.0,sábado
18,9273,8.205448,1995-11-10,Ace Ventura: When Nature Calls,6.1,1128.0,10.0,11.0,1995.0,viernes
19,11517,7.337906,1995-11-21,Money Train,5.4,224.0,21.0,11.0,1995.0,martes
20,8012,12.669608,1995-10-20,Get Shorty,6.4,305.0,20.0,10.0,1995.0,viernes
21,1710,10.701801,1995-10-27,Copycat,6.5,199.0,27.0,10.0,1995.0,viernes
22,9691,11.065939,1995-10-06,Assassins,6.0,394.0,6.0,10.0,1995.0,viernes
23,12665,12.133094,1995-10-27,Powder,6.3,143.0,27.0,10.0,1995.0,viernes
24,451,10.332025,1995-10-27,Leaving Las Vegas,7.1,365.0,27.0,10.0,1995.0,viernes
25,16420,1.845899,1995-12-15,Othello,7.0,33.0,15.0,12.0,1995.0,viernes
26,9263,8.681325,1995-10-20,Now and Then,6.6,91.0,20.0,10.0,1995.0,viernes
27,17015,2.228434,1995-09-27,Persuasion,7.4,36.0,27.0,9.0,1995.0,miércoles
30,9909,9.481338,1995-08-11,Dangerous Minds,6.4,249.0,11.0,8.0,1995.0,viernes
31,63,12.297305,1995-12-29,Twelve Monkeys,7.4,2470.0,29.0,12.0,1995.0,viernes
33,9598,14.404764,1995-07-18,Babe,6.0,756.0,18.0,7.0,1995.0,martes
34,47018,1.493361,1995-11-08,Carrington,6.4,16.0,8.0,11.0,1995.0,miércoles
35,687,6.891317,1995-12-29,Dead Man Walking,7.3,350.0,29.0,12.0,1995.0,viernes
36,139405,0.114469,1995-10-20,Across the Sea of Time,3.5,2.0,20.0,10.0,1995.0,viernes
37,33689,7.777735,1995-11-17,It Takes Two,6.1,149.0,17.0,11.0,1995.0,viernes
38,9603,9.882383,1995-07-19,Clueless,6.9,828.0,19.0,7.0,1995.0,miércoles
39,34615,0.894647,1995-12-15,"Cry, the Beloved Country",6.7,13.0,15.0,12.0,1995.0,viernes
40,31174,4.561387,1995-12-29,Richard III,6.9,50.0,29.0,12.0,1995.0,viernes
41,11443,9.87957,1995-10-06,Dead Presidents,6.6,80.0,6.0,10.0,1995.0,viernes
42,35196,10.979269,1995-12-29,Restoration,6.3,30.0,29.0,12.0,1995.0,viernes
43,9312,10.870138,1995-08-18,Mortal Kombat,5.4,452.0,18.0,8.0,1995.0,viernes
44,577,10.448481,1995-05-20,To Die For,6.7,177.0,20.0,5.0,1995.0,sábado
45,11861,4.485958,1995-10-06,How To Make An American Quilt,6.5,38.0,6.0,10.0,1995.0,viernes
46,807,18.45743,1995-09-22,Se7en,8.1,5915.0,22.0,9.0,1995.0,viernes
47,10530,13.280069,1995-06-14,Pocahontas,6.7,1509.0,14.0,6.0,1995.0,miércoles
48,8391,3.302524,1995-05-05,When Night Is Falling,5.9,10.0,5.0,5.0,1995.0,viernes
49,629,16.302466,1995-07-19,The Usual Suspects,8.1,3334.0,19.0,7.0,1995.0,miércoles
50,117164,0.595949,1994-11-22,Guardian Angel,6.3,3.0,22.0,11.0,1994.0,martes
51,11448,15.899134,1995-09-13,Mighty Aphrodite,6.7,145.0,13.0,9.0,1995.0,miércoles
53,26441,5.982764,1995-09-29,The Big Green,5.2,41.0,29.0,9.0,1995.0,viernes
54,97406,4.093443,1995-05-19,Georgia,6.1,15.0,19.0,5.0,1995.0,viernes
55,124057,0.307075,1997-07-08,Kids of the Round Table,3.0,1.0,8.0,7.0,1997.0,martes
56,9089,8.416802,1995-11-02,Home for the Holidays,6.3,39.0,2.0,11.0,1995.0,jueves
59,11359,10.673296,1995-07-14,The Indian in the Cupboard,5.9,136.0,14.0,7.0,1995.0,viernes
60,17182,4.733526,1996-01-12,Eye for an Eye,5.8,65.0,12.0,1.0,1996.0,viernes
61,2054,7.137117,1995-12-29,Mr. Holland's Opus,6.9,115.0,29.0,12.0,1995.0,viernes
62,10607,11.700115,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,12.0,1.0,1996.0,viernes
63,19760,2.174487,1996-01-12,Two If by Sea,4.5,14.0,12.0,1.0,1996.0,viernes
64,9536,6.387469,1996-01-12,Bio-Dome,4.4,110.0,12.0,1.0,1996.0,viernes
65,11525,2.49535,1996-01-12,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,12.0,1.0,1996.0,viernes
66,40628,4.046208,1995-10-22,Two Bits,5.4,11.0,22.0,10.0,1995.0,domingo
68,10634,14.56965,1995-04-26,Friday,7.0,513.0,26.0,4.0,1995.0,miércoles
69,755,15.339153,1996-01-19,From Dusk Till Dawn,6.9,1644.0,19.0,1.0,1996.0,viernes
70,11859,5.912223,1995-11-03,Fair Game,4.1,54.0,3.0,11.0,1995.0,viernes
71,28387,3.367276,1995-10-06,Kicking and Screaming,7.0,36.0,6.0,10.0,1995.0,viernes
73,20927,10.412194,1996-01-26,Bed of Roses,5.1,27.0,26.0,1.0,1996.0,viernes
74,36929,2.936443,1996-01-26,Big Bully,3.9,16.0,26.0,1.0,1996.0,viernes
75,9102,12.758848,1995-09-08,Screamers,6.1,154.0,8.0,9.0,1995.0,viernes
76,124626,0.133893,1995-02-18,Nico Icon,7.3,3.0,18.0,2.0,1995.0,sábado
77,27526,5.756462,1995-11-15,The Crossing Guard,6.1,74.0,15.0,11.0,1995.0,miércoles
78,9623,6.010579,1996-02-02,The Juror,5.5,91.0,2.0,2.0,1996.0,viernes
80,400,4.486179,1995-12-01,Things to Do in Denver When You're Dead,6.7,87.0,1.0,12.0,1995.0,viernes
82,146599,0.252287,1996-01-26,Once Upon a Time... When We Were Colored,4.5,2.0,26.0,1.0,1996.0,viernes
83,188588,0.531159,1995-11-22,Last Summer in the Hamptons,0.0,0.0,22.0,11.0,1995.0,miércoles
84,8447,2.15166,1995-09-10,Angels and Insects,6.3,17.0,10.0,9.0,1995.0,domingo
85,10534,9.568604,1996-02-02,White Squall,6.3,86.0,2.0,2.0,1996.0,viernes
86,17414,4.814825,1996-01-12,Dunston Checks In,5.1,59.0,12.0,1.0,1996.0,viernes
87,13997,8.963037,1996-02-01,Black Sheep,6.0,124.0,1.0,2.0,1996.0,jueves
88,2086,6.848591,1995-11-22,Nick of Time,6.1,190.0,22.0,11.0,1995.0,miércoles
89,61548,0.411424,1995-09-14,The Journey of August King,6.7,3.0,14.0,9.0,1995.0,jueves
90,9095,12.866139,1996-02-23,Mary Reilly,5.7,77.0,23.0,2.0,1996.0,viernes
91,12158,9.071127,1995-10-26,Vampire in Brooklyn,4.5,113.0,26.0,10.0,1995.0,jueves
92,9283,4.670562,1996-02-09,Beautiful Girls,6.6,103.0,9.0,2.0,1996.0,viernes
93,9208,14.957626,1996-02-09,Broken Arrow,5.7,459.0,9.0,2.0,1996.0,viernes
94,40154,0.513391,1995-12-01,A Midwinter's Tale,7.5,6.0,1.0,12.0,1995.0,viernes
96,45549,2.657647,1994-12-06,Shopping,5.6,13.0,6.0,12.0,1994.0,martes
97,63076,0.638211,1995-12-27,Heidi Fleiss: Hollywood Madam,6.8,4.0,27.0,12.0,1995.0,miércoles
98,11062,4.807223,1996-02-16,City Hall,6.0,67.0,16.0,2.0,1996.0,viernes
99,13685,6.904831,1996-02-21,Bottle Rocket,6.8,285.0,21.0,2.0,1996.0,miércoles
100,47475,3.329264,1996-02-16,Mr. Wrong,3.3,16.0,16.0,2.0,1996.0,viernes
101,2045,2.464425,1996-02-23,Unforgettable,5.3,22.0,23.0,2.0,1996.0,viernes
102,9614,9.592265,1996-02-16,Happy Gilmore,6.5,767.0,16.0,2.0,1996.0,viernes
103,688,5.951077,1995-05-28,The Bridges of Madison County,7.3,397.0,28.0,5.0,1995.0,domingo
105,10874,6.902423,1996-02-16,Muppet Treasure Island,6.5,93.0,16.0,2.0,1996.0,viernes
106,89333,0.976707,1995-12-08,Catwalk,7.0,2.0,8.0,12.0,1995.0,viernes
107,96357,0.001346,1995-05-20,Headless Body in Topless Bar,0.0,0.0,20.0,5.0,1995.0,sábado
108,197,20.755149,1995-05-24,Braveheart,7.7,3404.0,24.0,5.0,1995.0,miércoles
111,43566,2.938293,1996-02-23,Before and After,5.8,37.0,23.0,2.0,1996.0,viernes
112,71754,0.372697,1995-09-13,Margaret's Museum,7.5,2.0,13.0,9.0,1995.0,miércoles
113,43612,1.254885,1995-01-31,Happiness Is in the Field,7.0,23.0,31.0,1.0,1995.0,martes
114,51352,0.243986,1995-06-08,Anne Frank Remembered,7.3,4.0,8.0,6.0,1995.0,jueves
115,16934,6.178497,1995-01-20,The Young Poisoner's Handbook,6.9,19.0,20.0,1.0,1995.0,viernes
116,10324,2.891918,1996-03-08,If Lucy Fell,5.4,11.0,8.0,3.0,1996.0,viernes
117,78406,1.522412,1995-09-29,Steal Big Steal Little,5.1,7.0,29.0,9.0,1995.0,viernes
118,55731,1.317878,1996-03-22,Race the Sun,5.2,21.0,22.0,3.0,1996.0,viernes
119,32119,0.86539,1992-12-06,The Boys of St. Vincent,7.0,7.0,6.0,12.0,1992.0,domingo
120,11066,6.506983,1992-06-30,Boomerang,5.4,139.0,30.0,6.0,1992.0,martes
123,2074,5.579088,1996-03-22,Flirting with Disaster,6.3,66.0,22.0,3.0,1996.0,viernes
124,27793,6.252377,1994-10-26,The Neverending Story III: Escape from Fantasia,4.4,105.0,26.0,10.0,1994.0,miércoles
126,290157,0.001178,1995-01-01,Jupiter's Wife,0.0,0.0,1.0,1.0,1995.0,domingo
127,110972,0.699066,1996-02-09,Pie in the Sky,7.0,2.0,9.0,2.0,1996.0,viernes
128,32622,2.197439,1995-01-01,Angela,5.6,9.0,1.0,1.0,1995.0,domingo
130,11863,11.418917,1995-10-13,Jade,5.1,45.0,13.0,10.0,1995.0,viernes
132,124636,0.001838,1995-08-01,Sonic Outlaws,0.0,0.0,1.0,8.0,1995.0,martes
133,9101,5.184977,1996-03-01,Down Periscope,5.6,110.0,1.0,3.0,1996.0,viernes
134,123360,0.276401,1995-09-08,From the Journals of Jean Seberg,6.5,2.0,8.0,9.0,1995.0,viernes
135,5757,0.540436,1995-09-15,Man of the Year,3.8,2.0,15.0,9.0,1995.0,viernes
136,39428,0.370342,1995-08-23,The Neon Bible,7.2,5.0,23.0,8.0,1995.0,miércoles
137,124639,0.001205,1995-08-01,Target,0.0,0.0,1.0,8.0,1995.0,martes
138,9302,3.402749,1996-03-01,Up Close & Personal,5.9,51.0,1.0,3.0,1996.0,viernes
139,11000,6.49968,1996-03-08,The Birdcage,6.7,303.0,8.0,3.0,1996.0,viernes
140,249882,0.918504,1995-10-12,Virgin Mary,7.0,2.0,12.0,10.0,1995.0,jueves
141,16388,2.039196,1995-08-09,The Brothers McMullen,6.3,23.0,9.0,8.0,1995.0,miércoles
142,9737,9.262184,1995-04-07,Bad Boys,6.5,1729.0,7.0,4.0,1995.0,viernes
143,30765,2.375865,1995-08-25,The Amazing Panda Adventure,5.0,31.0,25.0,8.0,1995.0,viernes
144,10474,7.415144,1995-04-21,The Basketball Diaries,7.2,472.0,21.0,4.0,1995.0,viernes
145,22279,0.922958,1995-07-21,An Awfully Big Adventure,6.0,11.0,21.0,7.0,1995.0,viernes
146,30157,1.759012,1994-08-05,Amateur,6.5,21.0,5.0,8.0,1994.0,viernes
147,568,18.761467,1995-06-30,Apollo 13,7.3,1637.0,30.0,6.0,1995.0,viernes
148,11780,10.193549,1995-04-13,Rob Roy,6.5,151.0,13.0,4.0,1995.0,jueves
149,34996,3.137285,1995-01-10,The Addiction,6.4,46.0,10.0,1.0,1995.0,martes
150,414,13.321354,1995-06-16,Batman Forever,5.2,1529.0,16.0,6.0,1995.0,viernes
152,1873,2.04189,1995-05-24,Beyond Rangoon,6.4,21.0,24.0,5.0,1995.0,miércoles
153,5894,11.528147,1995-09-15,Blue in the Face,6.8,28.0,15.0,9.0,1995.0,viernes
154,1775,5.391556,1995-06-08,Canadian Bacon,5.9,57.0,8.0,6.0,1995.0,jueves
155,8839,12.812539,1995-05-26,Casper,6.0,1045.0,26.0,5.0,1995.0,viernes
156,20649,4.558992,1995-09-15,Clockers,6.8,69.0,15.0,9.0,1995.0,viernes
157,10329,7.260574,1995-06-09,Congo,5.0,214.0,9.0,6.0,1995.0,viernes
158,8963,8.657365,1995-05-12,Crimson Tide,7.0,508.0,12.0,5.0,1995.0,viernes
159,26564,3.620388,1994-09-10,Crumb,7.6,71.0,10.0,9.0,1994.0,sábado
160,8068,6.950458,1995-08-25,Desperado,6.8,898.0,25.0,8.0,1995.0,viernes
161,8512,4.646132,1995-09-15,Devil in a Blue Dress,6.3,88.0,15.0,9.0,1995.0,viernes
162,1572,15.138855,1995-05-19,Die Hard: With a Vengeance,6.9,2094.0,19.0,5.0,1995.0,viernes
163,13552,7.120806,1995-10-27,The Doom Generation,5.6,57.0,27.0,10.0,1995.0,viernes
164,259209,0.523575,1995-10-12,Feast of July,0.0,0.0,12.0,10.0,1995.0,jueves
165,6520,15.178338,1995-07-07,First Knight,5.9,319.0,7.0,7.0,1995.0,viernes
166,9073,7.575098,1995-07-19,Free Willy 2 - The Adventure Home,5.5,130.0,19.0,7.0,1995.0,miércoles
167,10428,14.810519,1995-09-14,Hackers,6.2,406.0,14.0,9.0,1995.0,jueves
